公司代码	公司简称	A股代码	A股简称	A股上市日期	B股代码	B股 简 称	B股上市日期	城 市
000001	深 发 展	1	深发展Ａ	1991-4-3	　	　	　	深圳市
000002	万 科	2	万 科Ａ	1991-1-29	200002	万 科Ｂ	1993-5-28	深圳市
000004	国农科技	4	*ST国农	1990-12-1	　	　	　	深圳市
000005	世纪星源	5	世纪星源	1990-12-10	　	　	　	深圳市
000006	深 振 业	6	深振业Ａ	1992-4-27	　	　	　	深圳市
000007	深零七	7	ST 达 声	1992-4-13	　	　	　	深圳市
000008	宝 利 来	8	ST宝利来	1992-5-7	　	　	　	深圳市
000009	中国宝安	9	中国宝安	1991-6-25	　	　	　	深圳市
000010	深 华 新	10	S ST华新	1995-10-27	　	　	　	深圳市
000011	深 物 业	11	深物业A	1992-3-30	200011	深物业B	1992-3-30	深圳市
000012	南玻集团	12	南 玻Ａ	1992-2-28	200012	南 玻Ｂ	1992-2-28	深圳市
000014	沙河股份	14	沙河股份	1992-6-2	　	　	　	深圳市
000016	深 康 佳	16	深康佳Ａ	1992-3-27	200016	深康佳Ｂ	1992-3-27	深圳市
000017	深 中 华	17	S ST中华	1992-3-31	200017	ST 中华B	1992-3-31	深圳市
000018	深 中 冠	18	*ST中冠A	1992-6-16	200018	*ST中冠B	1992-6-16	深圳市
000019	深 深 宝	19	深深宝Ａ	1992-10-12	200019	深深宝Ｂ	1992-10-12	深圳市
000020	深 华 发	20	深华发Ａ	1992-4-28	200020	深华发Ｂ	1992-4-28	深圳市
000021	长城开发	21	长城开发	1994-2-2	　	　	　	深圳市
000022	深 赤 湾	22	深赤湾Ａ	1993-5-5	200022	深赤湾Ｂ	1993-5-5	深圳市
000023	深 天 地	23	深天地Ａ	1993-4-29	　	　	　	深圳市
000024	招商地产	24	招商地产	1993-6-7	200024	招商局Ｂ	1993-6-7	深圳市
000025	深 特 力	25	特 力Ａ	1993-6-21	200025	特 力Ｂ	1993-6-21	深圳市
000026	飞 亚 达	26	飞亚达Ａ	1993-6-3	200026	飞亚达Ｂ	1993-6-3	深圳市
000027	深圳能源	27	深圳能源	1993-9-3	　	　	　	深圳市
000028	一致药业	28	一致药业	1993-8-9	200028	一 致Ｂ	1993-8-9	深圳市
000029	深房集团	29	深深房Ａ	1993-9-15	200029	深深房Ｂ	1994-1-10	深圳市
000030	盛润股份	30	*ST盛润A	1993-9-29	200030	*ST盛润B	1993-9-29	深圳市
000031	中粮地产	31	中粮地产	1993-10-8	　	　	　	深圳市
000032	深 桑 达	32	深桑达Ａ	1993-10-28	　	　	　	深圳市
000033	新都酒店	33	新都酒店	1994-1-3	　	　	　	深圳市
000034	深信泰丰	34	*ST深泰	1994-5-9	　	　	　	深圳市
000035	中 科 健	35	ST 科 健	1994-4-8	　	　	　	深圳市
000036	华联控股	36	*ST华控	1994-6-17	　	　	　	深圳市
000037	深 南 电	37	深南电Ａ	1994-7-1	200037	深南电Ｂ	1994-11-28	深圳市
000038	深大通	38	*ST大通	1994-8-8	　	　	　	深圳市
000039	中集集团	39	中集集团	1994-4-8	200039	中 集Ｂ	1994-3-23	深圳市
000040	深 鸿 基	40	深 鸿 基	1994-8-8	　	　	　	深圳市
000042	深 长 城	42	深 长 城	1994-9-21	　	　	　	深圳市
000043	中航地产	43	中航地产	1994-9-28	　	　	　	深圳市
000045	深 纺 织	45	深纺织Ａ	1994-8-15	200045	深纺织Ｂ	1994-8-15	深圳市
000046	泛海建设	46	泛海建设	1994-9-12	　	　	　	深圳市
000048	康 达 尔	48	ST康达尔	1994-11-1	　	　	　	深圳市
000049	德赛电池	49	德赛电池	1995-3-20	　	　	　	深圳市
000050	天 马	50	深天马Ａ	1995-3-15	　	　	　	深圳市
000053	深 基 地	　	　	　	200053	深基地Ｂ	1995-7-28	深圳市
000054	建设摩托	　	　	　	200054	建 摩Ｂ	1995-7-25	重庆市
000055	方大集团	55	方大集团	1996-4-15	200055	方大Ｂ	1995-11-29	深圳市
000056	深 国 商	56	深 国 商	1996-7-8	200056	深国商Ｂ	1995-10-30	深圳市
000058	深 赛 格	58	深 赛 格	1996-12-26	200058	深赛格B	1996-7-22	深圳市
000059	辽通化工	59	辽通化工	1997-1-30	　	　	　	盘锦市
000060	中金岭南	60	中金岭南	1997-1-23	　	　	　	深圳市
000061	农 产 品	61	农 产 品	1997-1-10	　	　	　	深圳市
000062	深圳华强	62	深圳华强	1997-1-30	　	　	　	深圳市
000063	中兴通讯	63	中兴通讯	1997-11-18	　	　	　	深圳市
000065	北方国际	65	北方国际	1998-6-5	　	　	　	北京市
000066	长城电脑	66	长城电脑	1997-6-26	　	　	　	深圳市
000068	赛格三星	68	赛格三星	1997-6-11	　	　	　	深圳市
000069	华 侨 城	69	华侨城Ａ	1997-9-10	　	　	　	深圳市
000070	特发信息	70	特发信息	2000-5-11	　	　	　	深圳市
000078	海王生物	78	海王生物	1998-12-18	　	　	　	深圳市
000088	盐 田 港	88	盐 田 港	1997-7-28	　	　	　	深圳市
000089	深圳机场	89	深圳机场	1998-4-20	　	　	　	深圳市
000090	深 天 健	90	深 天 健	1999-7-21	　	　	　	深圳市
000096	广聚能源	96	广聚能源	2000-7-24	　	　	　	深圳市
000099	中信海直	99	中信海直	2000-7-31	　	　	　	深圳市
000100	TCL 集团	100	TCL 集团	2004-1-30	　	　	　	惠州市
000150	宜华地产	150	宜华地产	2000-8-7	　	　	　	汕头市
000151	中成股份	151	中成股份	2000-9-6	　	　	　	北京市
000152	山 航 Ｂ	　	　	　	200152	山 航Ｂ	2000-9-12	济南市
000153	丰原药业	153	丰原药业	2000-9-20	　	　	　	巢湖市
000155	川化股份	155	川化股份	2000-9-26	　	　	　	成都市
000156	嘉瑞新材	156	*ST 嘉瑞	2000-9-6	　	　	　	怀化市
000157	中联重科	157	中联重科	2000-10-12	　	　	　	长沙市
000158	常山股份	158	常山股份	2000-7-24	　	　	　	石家庄市
000159	国际实业	159	国际实业	2000-9-26	　	　	　	乌鲁木齐市
000160	大路股份	　	　	　	200160	ST大路B	2000-9-29	承德市
000168	雷 伊	　	　	　	200168	*ST雷伊B	2000-10-27	揭阳市
000301	东方市场	301	东方市场	2000-5-29	　	　	　	苏州市
000338	潍柴动力	338	潍柴动力	2007-4-30	　	　	　	潍坊市
000400	许继电气	400	许继电气	1997-4-18	　	　	　	许昌市
000401	冀东水泥	401	冀东水泥	1996-6-14	　	　	　	唐山市
000402	金 融 街	402	金 融 街	1996-6-26	　	　	　	北京市
000403	三九生化	403	S*ST生化	1996-6-28	　	　	　	太原市
000404	华意压缩	404	华意压缩	1996-6-19	　	　	　	景德镇市
000407	胜利股份	407	胜利股份	1996-7-3	　	　	　	济南市
000408	玉源控股	408	ST 玉 源	1996-6-28	　	　	　	邯郸市
000409	泰复实业	409	ST泰复	1996-6-27	　	　	　	深圳市
000410	沈阳机床	410	沈阳机床	1996-7-18	　	　	　	沈阳市
000411	英特集团	411	英特集团	1996-7-16	　	　	　	杭州市
000413	宝 石	413	宝 石Ａ	1996-9-25	200413	宝 石Ｂ	1996-7-8	石家庄市
